id,num_reviews
1162320,45
1162430,30
1162470,125
1162480,224
1162650,1000
1162700,400
1162750,5252
1162930,1225
1162960,638
1162990,51
1163040,187
1163060,95
1163070,322
1163090,59
1163130,1883
1163340,257
1163500,46
1163550,5359
1163590,762
1163660,30
1163690,406
1163740,510
1163870,1323
1163930,115
1164000,629
1164050,3843
1164060,111
1164100,485
1164250,1222
1164290,53
1164460,32
1164690,657
1164750,120
1164830,54
1164940,10933
1165140,57
1165230,31
1165400,95
1165450,83
1165470,82
1165530,164
1165840,47
1165870,510
1165910,38
1166110,40
1166140,78
1166290,6129
1166310,113
1166730,37
1166860,3871
1166990,900
1167100,393
1167140,1593
1167150,52
1167170,258
1167300,118
1167320,258
1167450,6168
1167630,100003
1167640,28
1167680,611
1167700,193
1167750,674
1167790,506
1167850,31
1167950,885
1168170,254
1168250,30
1168470,2080
1168490,107
1168610,266
1168690,182
1168840,200
1168870,749
1169020,176
1169100,244
1169200,448
1169520,52
1169740,472
1169760,28
1170060,1123
1170080,922
1170120,49
1170190,83
1170230,404
1170400,28
1170610,303
1170720,135
1170760,2283
1170940,113
1170950,12464
1171040,29
1171120,103
1171130,27
1171260,50
1171270,968
1171320,1662
1171370,3972
1171660,230
1171690,22745
1171840,44
1172050,824
1172100,26
1172180,33
1172190,141
1172450,7999
1172470,50120
1172620,47280
1172730,27
1172830,136
1173010,1652
1173110,40
1173150,68
1173200,2712
1173220,2309
1173250,30
1173310,26
1173330,158
1173370,4750
1173380,629
1173400,2585
1173510,1342
1173650,77
1173730,37
1173770,4320
1173780,2330
1173790,1989
1173800,2156
1173810,1738
1173820,3396
1174090,102
1174270,29
1174380,149
1174390,613
1174400,368
1174420,29
1174460,459
1174550,54
1174640,364
1174670,64
1174690,1548
1174780,36
1175060,40
1175080,71
1175120,79
1175140,2923
1175190,170
1175200,249
1175210,67
1175360,749
1175400,26
1175430,93
1175480,29
1175640,42
1175700,59
1175800,51
1175830,1094
1175840,150
1175880,653
1175890,113
1175900,31
1175930,43
1176050,239
1176160,97
1176470,6007
1176480,26
1176710,2710
1176890,26
1177000,130
1177020,54
1177030,57
1177100,70
1177110,53
1177380,193
1177400,718
1177420,843
1177430,100
1177610,72
1177640,67
1177720,570
1177970,360
1177980,7488
1178000,29
1178030,6998
1178050,1482
1178130,146
1178140,173
1178150,146
1178160,1377
1178210,395
1178220,1772
1178230,214
1178290,40
1178400,938
1178430,57
1178460,81
1178490,18052
1178590,38
1178780,871
1178790,733
1178830,38001
1178880,750
1179010,29
1179060,230
1179080,6470
1179100,140
1179110,41
1179210,4631
1179580,1812
1179620,32
1179680,2164
1179890,102
1180030,755
1180130,256
1180320,61045
1180330,457
1180370,58
1180420,26
1180520,30
1180540,185
1180660,13083
1180900,56
1181030,56
1181270,45
1181400,899
1181520,97
1181600,88
1181610,99
1181640,174
1181780,32
1181790,1000
1181830,2282
1181840,1042
1182020,2711
1182060,31
1182110,2990
1182310,2113
1182470,61
1182530,37
1182620,11227
1182830,239
1182860,26
1182900,18066
1183010,29
1183260,641
1183470,498
1183480,26
1183500,180
1183530,93
1183670,37
1183700,101
1183720,178
1183800,654
1183840,27
1183850,47
1184010,34
1184050,7067
1184090,27
1184140,5300
1184160,7071
1184210,411
1184250,479
1184320,122
1184370,35006
1184450,41
1184480,1234
1184500,63
1184560,228
1184760,480
1184820,659
1184840,280
1184890,545
1184990,337
1185360,73
1185370,37
1185470,47
1185490,217
1185600,216
1185680,142
1185700,178
1185740,57
1185780,198
1185820,93
1186040,2298
1186050,55
1186220,245
1186340,39
1186460,799
1186470,46
1186630,55
1186640,4980
1186660,32
1186880,148
1187130,132
1187330,295
1187420,58
1187600,71
1187840,85
1187870,30
1187920,111
